Locality,Homi,Cerc, Ceta,Sire,Ursi,Hyan,Perc,Feli,Vive,Phoc,Gomp,Elep,Equi,Rhin,Suid ,Anth,Hippo,Gira,Redu,Bovi,Anti,Hipp,Alce
P10 T,0,0,0,1,0,1,2,0,1,0,0,0,2,0,1,6,0,0,0,1,0,0,0
P15 T,0,1,1,43,2,0,0,0,0,0,0,0,1,0,2,21,0,1,0,0,0,0,0
P66 T,0,0,4,29,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0
P115 T,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P5 U1,0,1,0,3,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,3,1,0,0
P10 U1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,3,0,0,0,0,0,0,1
P11 U1,0,0,0,2,0,0,0,2,0,0,3,0,4,1,6,15,1,5,0,1,9,2,0
P14 U1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1
P16 U1,0,0,0,0,0,3,2,2,0,0,0,3,30,0,26,49,6,2,0,2,7,0,1
P17 U1,0,4,0,0,0,0,0,0,0,0,0,0,8,0,2,15,3,2,0,1,4,0,0
P24 U1,0,0,0,0,0,1,0,0,0,0,0,0,12,0,2,9,6,0,1,4,5,0,0
P25 U1,0,0,0,1,0,3,1,1,0,0,2,1,20,1,11,39,9,3,0,5,5,0,0
P26 U1,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,1,0,0,0,0,0,1,1
P28 U1,0,0,1,2,3,1,2,3,1,0,0,0,25,5,32,133,11,6,0,9,12,2,3
P29 U1,0,2,0,0,0,0,0,2,0,0,0,0,4,1,5,2,0,2,0,2,1,0,0
P30 U1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,4,0,0,0,2,0,0,0
P32 U1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,7,12,63,0,1,1,0,2
P33 U1,0,0,0,0,0,0,0,0,0,0,0,3,9,2,6,15,4,4,0,4,1,0,0
P34 U1,1,1,1,54,1,5,2,5,0,1,2,6,25,2,14,65,19,11,5,7,15,0,0
P36 U1,0,2,0,1,0,0,0,2,0,0,0,0,3,0,3,9,2,0,0,3,5,0,2
P47 U1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0
P49 U1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,8,0,0,0,0,4,1,0
P60 U1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,6,13,3,0,1,1,4,1,1
P61 U1,0,1,0,0,0,2,0,1,0,0,0,0,6,1,4,12,2,0,0,2,2,1,1
P62 U1,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,1,0,1,4,0,1
P63 U1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,4,3,0,1
P65 U1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,1,3,0,12,2,0
P85 U1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,3,1,0,0,3,1,0,0
P99 U1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,4,24,9,0,2,5,8,0,0
P102 U1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,2,11,0,0,1,0,0,0
P103 U1,0,0,0,0,0,0,0,1,0,0,0,0,13,0,1,13,1,1,0,2,3,0,0
P104 U1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,1,1,1,1,0,0,0
P108 U1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,4,0,1,1,1,0,0
P115 U1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,8,0,0,0,0,0,0,0
P4 U2,1,2,9,2,0,1,0,1,0,2,0,0,2,0,29,5,1,0,0,1,0,0,0
P109 U2,0,0,0,0,0,0,1,1,0,0,0,0,8,0,2,5,4,1,0,1,7,0,0
P81 V,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,11,36,1,0,0,0,0,0
