"","Taxa","Locality","Count","Rank","Unit","abndance","taxa"
"1",".Primate","P10.T",0,1,"T",0.0833333333333333,"Prim"
"2",".Cetacea","P10.T",0,2,"T",0.166666666666667,"Ceta"
"3",".Rhinocerotidae","P10.T",0,3,"T",0.25,"Rhin"
"4",".Hippopotamidae","P10.T",0,4,"T",0.333333333333333,"Hipp"
"5",".Giraffidae","P10.T",0,5,"T",0.416666666666667,"Gira"
"6",".Sirenia","P10.T",1,6,"T",0.5,"Sire"
"7",".Suidae","P10.T",1,7,"T",0.583333333333333,"Suid"
"8",".Proboscidea","P10.T",2,8,"T",0.666666666666667,"Prob"
"9",".Equidae","P10.T",2,9,"T",0.75,"Equi"
"10",".Bovidae","P10.T",3,10,"T",0.833333333333333,"Bovi"
"11",".Carnivors","P10.T",6,11,"T",0.916666666666667,"Carn"
"12",".Anthracotheriidae","P10.T",6,12,"T",1,"Anth"
"13",".Primate","P10.U1",0,1,"U1",0.0833333333333333,"Prim"
"14",".Cetacea","P10.U1",0,2,"U1",0.166666666666667,"Ceta"
"15",".Sirenia","P10.U1",0,3,"U1",0.25,"Sire"
"16",".Rhinocerotidae","P10.U1",0,4,"U1",0.333333333333333,"Rhin"
"17",".Hippopotamidae","P10.U1",0,5,"U1",0.416666666666667,"Hipp"
"18",".Giraffidae","P10.U1",0,6,"U1",0.5,"Gira"
"19",".Carnivors","P10.U1",2,7,"U1",0.583333333333333,"Carn"
"20",".Suidae","P10.U1",2,8,"U1",0.666666666666667,"Suid"
"21",".Proboscidea","P10.U1",4,9,"U1",0.75,"Prob"
"22",".Equidae","P10.U1",4,10,"U1",0.833333333333333,"Equi"
"23",".Anthracotheriidae","P10.U1",6,11,"U1",0.916666666666667,"Anth"
"24",".Bovidae","P10.U1",11,12,"U1",1,"Bovi"
"25",".Primate","P102.U1",0,1,"U1",0.0833333333333333,"Prim"
"26",".Cetacea","P102.U1",0,2,"U1",0.166666666666667,"Ceta"
"27",".Sirenia","P102.U1",0,3,"U1",0.25,"Sire"
"28",".Rhinocerotidae","P102.U1",0,4,"U1",0.333333333333333,"Rhin"
"29",".Giraffidae","P102.U1",0,5,"U1",0.416666666666667,"Gira"
"30",".Proboscidea","P102.U1",1,6,"U1",0.5,"Prob"
"31",".Equidae","P102.U1",1,7,"U1",0.583333333333333,"Equi"
"32",".Suidae","P102.U1",1,8,"U1",0.666666666666667,"Suid"
"33",".Carnivors","P102.U1",2,9,"U1",0.75,"Carn"
"34",".Anthracotheriidae","P102.U1",2,10,"U1",0.833333333333333,"Anth"
"35",".Bovidae","P102.U1",4,11,"U1",0.916666666666667,"Bovi"
"36",".Hippopotamidae","P102.U1",11,12,"U1",1,"Hipp"
"37",".Primate","P103.U1",0,1,"U1",0.0833333333333333,"Prim"
"38",".Cetacea","P103.U1",0,2,"U1",0.166666666666667,"Ceta"
"39",".Sirenia","P103.U1",0,3,"U1",0.25,"Sire"
"40",".Rhinocerotidae","P103.U1",0,4,"U1",0.333333333333333,"Rhin"
"41",".Proboscidea","P103.U1",1,5,"U1",0.416666666666667,"Prob"
"42",".Suidae","P103.U1",1,6,"U1",0.5,"Suid"
"43",".Hippopotamidae","P103.U1",1,7,"U1",0.583333333333333,"Hipp"
"44",".Giraffidae","P103.U1",1,8,"U1",0.666666666666667,"Gira"
"45",".Carnivors","P103.U1",3,9,"U1",0.75,"Carn"
"46",".Equidae","P103.U1",13,10,"U1",0.833333333333333,"Equi"
"47",".Anthracotheriidae","P103.U1",13,11,"U1",0.916666666666667,"Anth"
"48",".Bovidae","P103.U1",29,12,"U1",1,"Bovi"
"49",".Primate","P108.U1",0,1,"U1",0.0833333333333333,"Prim"
"50",".Cetacea","P108.U1",0,2,"U1",0.166666666666667,"Ceta"
"51",".Sirenia","P108.U1",0,3,"U1",0.25,"Sire"
"52",".Proboscidea","P108.U1",0,4,"U1",0.333333333333333,"Prob"
"53",".Rhinocerotidae","P108.U1",0,5,"U1",0.416666666666667,"Rhin"
"54",".Giraffidae","P108.U1",0,6,"U1",0.5,"Gira"
"55",".Equidae","P108.U1",2,7,"U1",0.583333333333333,"Equi"
"56",".Suidae","P108.U1",2,8,"U1",0.666666666666667,"Suid"
"57",".Carnivors","P108.U1",3,9,"U1",0.75,"Carn"
"58",".Anthracotheriidae","P108.U1",3,10,"U1",0.833333333333333,"Anth"
"59",".Hippopotamidae","P108.U1",4,11,"U1",0.916666666666667,"Hipp"
"60",".Bovidae","P108.U1",7,12,"U1",1,"Bovi"
"61",".Primate","P109.U2",0,1,"U2",0.0833333333333333,"Prim"
"62",".Cetacea","P109.U2",0,2,"U2",0.166666666666667,"Ceta"
"63",".Sirenia","P109.U2",0,3,"U2",0.25,"Sire"
"64",".Rhinocerotidae","P109.U2",0,4,"U2",0.333333333333333,"Rhin"
"65",".Giraffidae","P109.U2",1,5,"U2",0.416666666666667,"Gira"
"66",".Proboscidea","P109.U2",2,6,"U2",0.5,"Prob"
"67",".Suidae","P109.U2",2,7,"U2",0.583333333333333,"Suid"
"68",".Hippopotamidae","P109.U2",4,8,"U2",0.666666666666667,"Hipp"
"69",".Anthracotheriidae","P109.U2",5,9,"U2",0.75,"Anth"
"70",".Carnivors","P109.U2",6,10,"U2",0.833333333333333,"Carn"
"71",".Equidae","P109.U2",8,11,"U2",0.916666666666667,"Equi"
"72",".Bovidae","P109.U2",25,12,"U2",1,"Bovi"
"73",".Cetacea","P11.U1",0,1,"U1",0.0833333333333333,"Ceta"
"74",".Rhinocerotidae","P11.U1",0,2,"U1",0.166666666666667,"Rhin"
"75",".Primate","P11.U1",1,3,"U1",0.25,"Prim"
"76",".Sirenia","P11.U1",1,4,"U1",0.333333333333333,"Sire"
"77",".Hippopotamidae","P11.U1",1,5,"U1",0.416666666666667,"Hipp"
"78",".Giraffidae","P11.U1",5,6,"U1",0.5,"Gira"
"79",".Carnivors","P11.U1",6,7,"U1",0.583333333333333,"Carn"
"80",".Equidae","P11.U1",6,8,"U1",0.666666666666667,"Equi"
"81",".Suidae","P11.U1",6,9,"U1",0.75,"Suid"
"82",".Proboscidea","P11.U1",8,10,"U1",0.833333333333333,"Prob"
"83",".Anthracotheriidae","P11.U1",14,11,"U1",0.916666666666667,"Anth"
"84",".Bovidae","P11.U1",51,12,"U1",1,"Bovi"
"85",".Primate","P115.T",0,1,"T",0.0833333333333333,"Prim"
"86",".Cetacea","P115.T",0,2,"T",0.166666666666667,"Ceta"
"87",".Carnivors","P115.T",0,3,"T",0.25,"Carn"
"88",".Proboscidea","P115.T",0,4,"T",0.333333333333333,"Prob"
"89",".Equidae","P115.T",0,5,"T",0.416666666666667,"Equi"
"90",".Rhinocerotidae","P115.T",0,6,"T",0.5,"Rhin"
"91",".Suidae","P115.T",0,7,"T",0.583333333333333,"Suid"
"92",".Anthracotheriidae","P115.T",0,8,"T",0.666666666666667,"Anth"
"93",".Hippopotamidae","P115.T",0,9,"T",0.75,"Hipp"
"94",".Giraffidae","P115.T",0,10,"T",0.833333333333333,"Gira"
"95",".Bovidae","P115.T",0,11,"T",0.916666666666667,"Bovi"
"96",".Sirenia","P115.T",22,12,"T",1,"Sire"
"97",".Cetacea","P115.U1",0,1,"U1",0.0833333333333333,"Ceta"
"98",".Sirenia","P115.U1",0,2,"U1",0.166666666666667,"Sire"
"99",".Proboscidea","P115.U1",0,3,"U1",0.25,"Prob"
"100",".Rhinocerotidae","P115.U1",0,4,"U1",0.333333333333333,"Rhin"
"101",".Hippopotamidae","P115.U1",0,5,"U1",0.416666666666667,"Hipp"
"102",".Giraffidae","P115.U1",0,6,"U1",0.5,"Gira"
